printer_id,printer_name,cartridges,parts
400000026480,Canon MF4140,"[""400000013234"", ""400000012388"", ""400000030513"", ""400000011518"", ""400000013499""]","[""400000015958"", ""400000030633"", ""400000009229"", ""400000002831"", ""400000016407""]"
400000030720,Konica Minolta bizhub C754,"[""400000033178"", ""400000032909"", ""400000033051"", ""400000033179"", ""400000033177""]","[""400000030887"", ""400000030907"", ""400000030894"", ""400000030728"", ""400000033730"", ""400000033724"", ""400000031615"", ""400000031609"", ""400000031345"", ""400000031364"", ""400000030664"", ""400000030886""]"
400000030997,Xerox Сolour J75 Press,"[""400000030959"", ""400000031599"", ""400000031924"", ""400000030958"", ""400000031598"", ""400000032968"", ""400000030957"", ""400000031597"", ""400000032970"", ""400000031927"", ""400000031925"", ""400000032969"", ""400000031926"", ""400000030960"", ""400000032967"", ""400000031600""]","[""400000032577"", ""400000031840"", ""400000033573"", ""400000032622"", ""400000033580"", ""400000031844"", ""400000032107"", ""400000031841"", ""400000032516"", ""400000031839"", ""400000031836"", ""400000032104"", ""400000033581"", ""400000032151"", ""400000033575"", ""400000032576"", ""400000033578"", ""400000031843"", ""400000031837"", ""400000033579"", ""400000032581"", ""400000031838"", ""400000032629"", ""400000032121"", ""400000031842"", ""400000032108"", ""400000032149""]"
400000026735,Samsung ML-1630,"[""400000030439"", ""400000026734""]","[""400000030637""]"
400000028849,Lexmark X215 MFP,"[""400000028876"", ""400000030523""]","[""400000022273""]"
400000028821,HP LaserJet Pro MFP M130fw,"[""400000030391"", ""400000028818""]","[""400000030635"", ""400000025158"", ""400000027144""]"
400000033499,Konica Minolta bizhub 130f,[],[]
400000029737,Samsung SL-M3375FD,"[""400000029744""]",[]
400000029478,Xerox WorkCentre 5022,"[""400000020132"", ""400000013521""]","[""400000022278""]"
400000028885,Canon i-SENSYS LBP252dw,"[""400000030202"", ""400000026131"", ""400000015221""]","[""400000015958"", ""400000002831"", ""400000021214"", ""400000013502""]"
400000029516,Kyocera FS-C8600dn,"[""400000029518"", ""400000030605"", ""400000029520"", ""400000029521"", ""400000029519""]","[""400000024345"", ""400000024343"", ""400000024344"", ""400000024346""]"
400000026896,Samsung SCX-5835FN,"[""400000030530"", ""400000019459""]","[""400000021215""]"
400000026557,HP LaserJet P3005,"[""400000022449"", ""400000030386"", ""400000023823"", ""400000030385""]","[""400000015038"", ""400000022452""]"
400000032657,Konica Minolta bizhub C550,[],"[""400000030894"", ""400000031428"", ""400000033730""]"
400000026904,Samsung ML-3710,"[""400000020350"", ""400000030457"", ""400000030456""]","[""400000024172""]"
400000033527,Konica Minolta bizhub C4051i,[],[]
400000033263,Canon imageRUNNER ADVANCE C7055,[],"[""400000033194""]"
400000026946,Xerox Phaser 3600,"[""400000030485"", ""400000026927""]",[]
400000028964,Brother MFC-1813,"[""400000030198"", ""400000028961""]","[""400000025926""]"
400000026377,Kyocera TASKalfa 520i,"[""400000006722"", ""400000019407""]",[]
400000029802,Samsung SL-C410W,"[""400000030593""]",[]
400000027903,Canon i-SENSYS MF8080Cw,"[""400000015968"", ""400000016596"", ""400000016957"", ""400000016081"", ""400000030566"", ""400000016080""]","[""400000015427"", ""400000016907"", ""400000029033"", ""400000016908"", ""400000026157"", ""400000022933""]"
400000028175,Canon I-SENSYS LBP215x,"[""400000025991"", ""400000030326""]","[""400000033101""]"
400000033531,Konica Minolta bizhub C751i,[],[]
400000028463,Canon Fax-L390,"[""400000030509"", ""400000026405""]","[""400000002831"", ""400000015958""]"
400000028763,HP LaserJet Enterprise 500 Color M551xh,"[""400000028659"", ""400000030585"", ""400000028662"", ""400000028661"", ""400000028660""]","[""400000026157"", ""400000029033"", ""400000022933""]"
400000028888,HP LaserJet Pro M1130 MFP,"[""400000023401"", ""400000013848"", ""400000015579"", ""400000030518"", ""400000026129"", ""400000026130""]","[""400000017602"", ""400000012999"", ""400000009850""]"
400000026538,Canon i-SENSYS LBP3310,"[""400000030331"", ""400000018130"", ""400000015428""]","[""400000015958"", ""400000011758"", ""200000003556"", ""400000011851"", ""400000002831"", ""400000021214"", ""400000025157"", ""400000030634"", ""400000015038""]"
400000026423,HP LaserJet Enterprise M632h,"[""400000030517"", ""400000026427""]",[]
400000032413,Xerox WorkCentre WC7765,[],"[""400000032581"", ""400000032516"", ""400000032107"", ""400000032577"", ""400000031838"", ""400000032104"", ""400000032121"", ""400000032108"", ""400000032149""]"
400000032468,Canon ImagePress C750,"[""400000031828"", ""400000031827"", ""400000031826"", ""400000031829""]","[""400000032683"", ""400000032147"", ""400000032148"", ""400000032684""]"
400000026329,Kyocera KM-1635,"[""400000002721"", ""200000001990"", ""400000020385"", ""400000029971"", ""400000008839"", ""400000009942""]",[]
400000033749,Pantum P3302DN,"[""400000033642""]","[""400000032005""]"
400000026551,Canon i-SENSYS LBP6650dn,"[""400000015223"", ""400000030202"", ""400000026131"", ""400000023293"", ""400000030354""]","[""400000015958"", ""400000030165"", ""400000002831"", ""400000021214"", ""400000013502"", ""400000030636""]"
400000032667,Konica Minolta Bizhub C3300i,[],"[""400000032570"", ""400000030894"", ""400000030897""]"
400000028800,Canon i-SENSYS MF212w,"[""400000028813"", ""400000030324""]","[""400000017602"", ""400000030314"", ""400000030017"", ""400000009850""]"
400000028024,Xerox Phaser 6010,"[""400000023860"", ""400000030594"", ""400000023862"", ""400000023859"", ""400000023861""]","[""400000015018"", ""400000016323"", ""400000015019"", ""400000015020"", ""400000016322"", ""400000016324"", ""400000016325""]"
400000033811,Xerox AltaLink C8155,"[""400000032445"", ""400000032443"", ""400000032444"", ""400000032446""]","[""400000033704"", ""400000032448"", ""400000032450"", ""400000032449"", ""400000032447""]"
400000026877,Samsung SCX-4728FD,"[""400000030453"", ""400000013496"", ""400000030452""]","[""400000030019"", ""400000021245""]"
400000030977,Pantum M6600,[],"[""400000030952"", ""400000033102""]"
400000015102,Canon I-SENSYS LBP6310DN,"[""400000015223"", ""400000030202"", ""400000026131"", ""400000023293""]","[""400000015958"", ""400000030165"", ""400000002831"", ""400000021214"", ""400000013502""]"
400000033485,Konica Minolta Bizhub 4051i,[],[]
400000032423,Konica Minolta Bizhub PRESS C1070P,"[""400000031353"", ""400000032292"", ""400000031352"", ""400000031354"", ""400000032291"", ""400000032293"", ""400000032294"", ""400000031351""]","[""400000033639"", ""400000033729"", ""400000032870"", ""400000033721"", ""400000031931"", ""400000033724"", ""400000033702"", ""400000033632"", ""400000033638"", ""400000031229"", ""400000031859"", ""400000033731"", ""400000033182"", ""400000031871"", ""400000033631"", ""400000033699"", ""400000033732"", ""400000033180"", ""400000032259"", ""400000031820"", ""400000031430"", ""400000030973"", ""400000031517"", ""400000031929"", ""400000033240"", ""400000033635"", ""400000033730"", ""400000033722"", ""400000031615"", ""400000033713"", ""400000033633"", ""400000033700"", ""400000033725"", ""400000033703"", ""400000031470"", ""400000031515"", ""400000033183"", ""400000033727"", ""400000033184"", ""400000031420"", ""400000031422"", ""400000033720"", ""400000033701"", ""400000033728"", ""400000033636"", ""400000031469"", ""400000031346"", ""400000033723"", ""400000031819"", ""400000031115"", ""400000031516"", ""400000033181"", ""400000032836"", ""400000031471"", ""400000031518""]"
400000026834,Samsung ML-1910,"[""400000015226"", ""400000030444"", ""400000030445""]","[""400000027147"", ""400000032700"", ""400000030638"", ""400000021245""]"
400000031009,Konica Minolta bizhub 654,"[""400000033051"", ""400000032909""]","[""400000030887"", ""400000030907"", ""400000030894"", ""400000030728"", ""400000033730"", ""400000033724"", ""400000031615"", ""400000031609"", ""400000031345"", ""400000031364"", ""400000030664"", ""400000030886""]"
400000033502,Konica Minolta AccurioPrint 950i,[],[]
400000032361,Xerox Color C60,"[""400000031935"", ""400000031439"", ""400000031444"", ""400000031440"", ""400000030953"", ""400000032351"", ""400000031441"", ""400000032348"", ""400000030954"", ""400000032346"", ""400000031442"", ""400000032345"", ""400000030955"", ""400000030956"", ""400000032347"", ""400000032975"", ""400000032974"", ""400000032352"", ""400000032349"", ""400000031437"", ""400000031443"", ""400000031572"", ""400000031571"", ""400000031570"", ""400000031569"", ""400000032350"", ""400000031438"", ""400000032977"", ""400000032976""]","[""400000032577"", ""400000031580"", ""400000031840"", ""400000033573"", ""400000031579"", ""400000031946"", ""400000031976"", ""400000031978"", ""400000032557"", ""400000032875"", ""400000031947"", ""400000031977"", ""400000031844"", ""400000033704"", ""400000032107"", ""400000031979"", ""400000031841"", ""400000032516"", ""400000031839"", ""400000031945"", ""400000031836"", ""400000031578"", ""400000032104"", ""400000032873"", ""400000032151"", ""400000032576"", ""400000031944"", ""400000032874"", ""400000031843"", ""400000031837"", ""400000032150"", ""400000032872"", ""400000032581"", ""400000032109"", ""400000031971"", ""400000031577"", ""400000031838"", ""400000032121"", ""400000031842"", ""400000032108"", ""400000032149""]"
400000033301,Xerox DocuPrint 1100,[],"[""400000033196""]"
400000029002,Canon PC 981,"[""400000027202"", ""400000029970"", ""400000027203""]","[""400000023565""]"
400000029488,Konica Minolta bizhub C554,"[""400000029494"", ""400000029492"", ""400000029493"", ""400000029495""]","[""400000021871"", ""400000024540"", ""400000031427"", ""400000032568"", ""400000030896"", ""400000030907"", ""400000030661"", ""400000032571"", ""400000031918"", ""400000016173"", ""400000030887"", ""400000030895"", ""400000030894"", ""400000030728"", ""400000031615"", ""400000030898"", ""400000032569"", ""400000030946"", ""400000032570"", ""400000030662"", ""400000030664"", ""400000030886"", ""400000030906"", ""400000031611"", ""400000031920"", ""400000030888"", ""400000031222"", ""400000030945"", ""400000031919""]"
400000033479,Konica Minolta bizhub 4000i,[],[]
400000026583,HP  LaserJet 9040dn,"[""400000030211"", ""400000026587""]",[]
400000031017,Konica Minolta bizhub C554e,[],"[""400000021871"", ""400000031427"", ""400000030897"", ""400000033724"", ""400000032568"", ""400000030896"", ""400000030907"", ""400000032571"", ""400000031918"", ""400000016173"", ""400000030887"", ""400000030894"", ""400000030728"", ""400000031615"", ""400000030898"", ""400000032569"", ""400000030946"", ""400000032570"", ""400000030664"", ""400000030886"", ""400000030906"", ""400000031611"", ""400000031920"", ""400000030888"", ""400000031222"", ""400000030945"", ""400000031919""]"
400000029767,Brother HL-L2340DWR,"[""400000023506"", ""400000030323"", ""400000030269"", ""400000029773""]",[]
400000033447,Konica Minolta bizhub 601,[],"[""400000031871"", ""400000033730"", ""400000031931"", ""400000033724""]"
400000026774,Xerox WorkCentre 3119,"[""400000030540"", ""400000013507""]","[""400000022273""]"
400000026395,HP LaserJet Enterprise M607dn,"[""400000030382"", ""400000026427""]",[]
400000033813,Canon VarioPrint VP120,[],"[""400000032686"", ""400000032687""]"
400000026953,Samsung ML-2168W,"[""400000030446"", ""400000030275"", ""400000014788""]","[""400000013495"", ""400000030639"", ""400000016877"", ""400000033110"", ""400000018141""]"
400000028978,Canon FC 220,"[""400000027202"", ""400000030159"", ""400000029970"", ""400000027203""]","[""400000023565""]"
400000029500,Canon iR 1020,"[""400000030511""]","[""400000021723"", ""400000009229""]"
400000026286,Kyocera Ecosys M3860idn,"[""400000030412"", ""400000026284"", ""400000024088"", ""400000024269"", ""400000024360""]",[]
400000027181,Oki MC352dn,"[""400000027172"", ""400000027175"", ""400000027176"", ""400000030590"", ""400000027174""]",[]
400000026468,HP LaserJet 3020,"[""200000000402"", ""400000013234"", ""400000011519"", ""400000005168"", ""400000012388"", ""400000011518"", ""400000013499""]","[""400000030633"", ""400000015958"", ""400000009229"", ""400000002831"", ""400000021698"", ""400000033096"", ""400000016407"", ""400000021558"", ""400000009931""]"
400000033669,Konica Minolta Bizhub C266,[],"[""400000030950""]"
400000026226,Kyocera Ecosys M2530DN,"[""400000019121"", ""400000019122"", ""400000016955"", ""400000030520""]","[""400000030645"", ""400000030646"", ""400000030644"", ""400000024601"", ""400000030643""]"
400000028733,Canon i-SENSYS MF8540Cdn,"[""400000032752"", ""400000030570"", ""400000018143"", ""400000032754"", ""400000020487"", ""400000018145"", ""400000032753"", ""400000032755"", ""400000018144""]","[""400000015427"", ""400000030612"", ""400000022933""]"
400000033517,Konica Minolta bizhub C250P,[],"[""400000030896""]"
400000026271,Kyocera M3540IDN,"[""400000030522"", ""400000026272""]","[""400000030648"", ""400000024174"", ""400000030647"", ""400000030650"", ""400000024153"", ""400000030649"", ""400000024601"", ""400000033383""]"
400000028712,Canon i-SENSYS MF8450,"[""400000030567"", ""400000028710"", ""400000028709"", ""400000028708"", ""400000028711""]","[""400000002802"", ""400000022933""]"
400000033525,Konica Minolta bizhub 190f,[],[]
400000028069,Brother FAX-2920R,"[""400000024237"", ""400000030506"", ""400000030303""]","[""400000030642"", ""400000023678""]"
400000027266,Brother HL-2140R,"[""400000017384"", ""400000030307"", ""400000018695""]","[""400000023678""]"
400000028766,HP LaserJet Pro 500 Color MFP M570dn,"[""400000028659"", ""400000030585"", ""400000028662"", ""400000028661"", ""400000028660""]","[""400000016907"", ""400000029033"", ""400000016908"", ""400000026157"", ""400000022933""]"
400000027096,Canon i-SENSYS MF4750,"[""400000014981"", ""400000015579"", ""400000030514"", ""400000014786"", ""400000026129""]","[""400000012999"", ""400000014883"", ""400000009850"", ""400000017602"", ""400000030165"", ""400000030021""]"
400000028787,HP LaserJet Pro MFP M225dn,"[""400000030394"", ""400000019120"", ""400000030395"", ""400000020133"", ""400000021216"", ""400000030363""]","[""400000017602"", ""400000030165"", ""400000030017"", ""400000009850""]"
400000026471,HP LaserJet 3052,"[""200000000402"", ""400000013234"", ""400000011519"", ""400000005168"", ""400000012388"", ""400000011518"", ""400000013499""]","[""400000030633"", ""400000015958"", ""400000009229"", ""400000002831"", ""400000021698"", ""400000033096"", ""400000016407"", ""400000021558"", ""400000009931""]"
400000026229,Kyocera Ecosys M2035DN,"[""400000018133"", ""400000030519"", ""400000019123"", ""400000019124""]","[""400000030645"", ""400000030646"", ""400000022503"", ""400000030644"", ""400000024601"", ""400000030643""]"
400000033661,Xerox Versalink С7025,[],"[""400000033573""]"
400000028896,Brother HL-1030,"[""400000030498"", ""400000030499"", ""400000028905"", ""400000029972""]","[""400000023607""]"
400000027122,Canon i-SENSYS MF6180dw,"[""400000015223"", ""400000030202"", ""400000026131"", ""400000023293"", ""400000030354""]","[""400000015958"", ""400000030165"", ""400000002831"", ""400000021214"", ""400000013502""]"
400000026382,Kyocera KM-3530,"[""400000030490"", ""400000026378""]",[]
400000026863,Xerox Phaser 3160,"[""400000029745"", ""400000026952"", ""400000019129""]","[""400000021434"", ""400000013639"", ""400000021245""]"
400000026375,Kyocera TASKalfa 3511i,"[""400000026373"", ""400000030495""]","[""400000024601""]"
400000028912,Brother IntelliFax 4750,"[""400000028905"", ""400000029972""]","[""400000023607""]"
400000029006,HP Color LaserJet 2500,"[""400000030573"", ""400000029014"", ""400000029015"", ""400000029013"", ""400000029012""]","[""400000022452"", ""400000015503""]"
400000026345,Kyocera FS-6025MFP,"[""400000030489"", ""400000026346""]","[""400000026704"", ""400000030655"", ""400000030656""]"
400000028743,Canon i-SENSYS MF8280Cw,"[""400000025606"", ""400000016596"", ""400000016957"", ""400000025605"", ""400000016081"", ""400000025607"", ""400000025604"", ""400000016080"", ""400000030569""]","[""400000015427"", ""400000016907"", ""400000029033"", ""400000016908"", ""400000026157"", ""400000022933""]"
400000026898,Samsung SCX-5330N,"[""400000026897"", ""400000030529""]","[""400000015222"", ""400000010567"", ""400000021215""]"
400000029805,Samsung CLP-320,"[""400000030592""]",[]
400000030158,HP LaserJet Pro M404dn,"[""400000030402"", ""400000030401"", ""400000026649""]","[""400000029975"", ""400000033101""]"
400000033655,Xerox Versalink B7035,[],"[""400000033573""]"
400000033765,Ricoh Pro C7200X,"[""400000033709"", ""400000033712"", ""400000033711"", ""400000033710""]","[""400000033714""]"
400000033538,Konica Minolta C35,[],[]
400000031016,Konica Minolta bizhub 808,[],"[""400000030887"", ""400000030728"", ""400000030897"", ""400000032570"", ""400000030664"", ""400000030907"", ""400000030886""]"
400000029528,Xerox Phaser 7800,"[""400000029531"", ""400000029532"", ""400000029530"", ""400000029529"", ""400000030565""]","[""400000033704"", ""400000022458"", ""400000022459"", ""400000022460"", ""400000033246"", ""400000022461"", ""400000033245""]"
400000028982,Canon FC 336,"[""400000027202"", ""400000030159"", ""400000029970"", ""400000027203""]","[""400000023565""]"
400000029790,Kyocera KM-C2520,"[""400000029793""]",[]
400000026957,Samsung ML-3712ND,"[""400000020350"", ""400000030456""]","[""400000022448""]"
400000028375,Canon i-SENSYS FAX-L160,"[""400000013234"", ""400000011519"", ""400000005168"", ""400000012388"", ""400000030513"", ""400000011518"", ""400000013499""]","[""400000015958"", ""400000030633"", ""400000009229"", ""400000002831"", ""400000016407""]"
400000028848,Samsung SF-560R,"[""400000012655"", ""400000030534"", ""400000026132"", ""200000001110""]","[""400000022273"", ""200000001644"", ""400000027146""]"
400000033526,Konica Minolta bizhub 240f,[],[]
400000032634,Konica Minolta Bizhub 650i,[],"[""400000030894"", ""400000031427"", ""400000030897"", ""400000033724"", ""400000030898""]"
400000033414,Konica Minolta bizhub 7718,[],[]
400000033476,Konica Minolta bizhub 185,[],"[""400000030896""]"
400000031007,Konica Minolta bizhub 558,[],"[""400000021871"", ""400000031613"", ""400000031427"", ""400000030897"", ""400000030896"", ""400000030907"", ""400000032571"", ""400000030887"", ""400000030947"", ""400000030894"", ""400000030728"", ""400000031615"", ""400000030898"", ""400000032554"", ""400000032570"", ""400000030664"", ""400000030886"", ""400000032260"", ""400000031222""]"
400000028870,Samsung Xpress SL-M2021,"[""400000022914"", ""400000030465"", ""400000026134""]","[""400000016877""]"
400000026984,HP LaserJet 1000W,"[""200000000393"", ""400000014970"", ""400000012992""]","[""400000011757"", ""400000015958"", ""400000011851"", ""400000002831"", ""400000021214"", ""400000025157"", ""400000010374""]"
400000026220,Kyocera Ecosys FS-1060DN,"[""400000016878"", ""400000024184"", ""400000030405"", ""400000030406"", ""400000033800""]","[""400000018342""]"
400000033445,Konica Minolta bizhub 600,[],"[""400000031871"", ""400000033730"", ""400000031931"", ""400000033724""]"
400000033450,Konica Minolta MagiColor 1690MF,[],[]
400000028862,Samsung SCX-4610,"[""400000015226"", ""400000030444"", ""400000030445""]","[""400000027147"", ""400000021245""]"
400000033203,Konica Minolta bizhub C3120i,[],[]
400000027686,Konica Minolta bizhub C353,"[""400000002546"", ""400000002548"", ""400000002547"", ""400000002549""]","[""400000021871"", ""400000016173"", ""400000030895"", ""400000030894"", ""400000011450"", ""400000031615"", ""400000030896""]"
400000033518,Konica Minolta  Develop ineo+ 754,[],[]
400000026706,Samsung ML-1010,"[""200000000415"", ""400000014789""]","[""400000016210""]"
400000032430,Konica Minolta bizhub C287i,"[""400000024048""]","[""400000031615"", ""400000031222"", ""400000030898"", ""400000030950""]"
400000026402,HP LaserJet 3380mfp,"[""200000000393"", ""400000005341"", ""400000012992"", ""400000014970"", ""400000030364"", ""400000013500"", ""400000011524""]","[""400000011757"", ""400000015958"", ""400000011851"", ""400000002831"", ""400000021214"", ""400000025157"", ""400000010374""]"
400000026964,Xerox WorkCentre 390,"[""400000026962"", ""400000030541""]","[""400000007891""]"
400000026227,Kyocera Ecosys FS-1035MFP,"[""400000018133"", ""400000030519"", ""400000019123"", ""400000019124""]","[""400000024601"", ""400000030644"", ""400000030643"", ""400000022503""]"
400000026932,Samsung ProXpress SL-M3320,"[""400000026924"", ""400000030462""]","[""400000022448""]"
400000033406,Konica Minolta bizhub 161f,[],[]
400000026416,Canon Fax-L380,"[""400000030509"", ""400000026405""]","[""400000015958""]"
400000033819,Konica Minolta bizhub PRO 8050,[],"[""400000033186"", ""400000031931""]"
400000026915,Samsung ML-3561ND,"[""400000026917"", ""400000030459""]",[]
400000033392,Konica Minolta 7030,[],"[""400000031820""]"
400000032416,Konica Minolta Bizhub PRO 1200,"[""400000031551""]","[""400000032173"", ""400000031868"", ""400000033724"", ""400000031615"", ""400000032908"", ""400000031866""]"
400000026161,Kyocera KM-1500,"[""400000022274"", ""400000020053"", ""400000005632"", ""200000000960""]",[]
400000026862,Xerox Phaser 3155,"[""400000029745"", ""400000026952"", ""400000019129""]","[""400000021434"", ""400000013639"", ""400000021245""]"
400000026719,Samsung SCX-4321,"[""400000026133"", ""400000030438"", ""400000021697"", ""400000015225""]","[""400000030640"", ""400000025156"", ""400000021215""]"
400000028460,Canon Fax-L300,"[""400000028381"", ""400000030201""]","[""400000002831""]"
400000026872,Xerox WorkCentre 3220N,"[""400000029753"", ""400000027305"", ""400000020147""]","[""400000030638"", ""400000021245""]"
400000033486,Konica Minolta Bizhub 4052,[],[]
400000026365,Kyocera TASKAlfa 300i,"[""400000026366"", ""400000030493""]",[]
400000026231,Kyocera P2235DN,"[""400000024268"", ""400000030427""]","[""400000024174"", ""400000024601"", ""400000024602"", ""400000030882""]"
400000032464,Canon ImagePress C600i,"[""400000031828"", ""400000031827"", ""400000031826"", ""400000031829""]","[""400000032683"", ""400000032147"", ""400000032148"", ""400000032684""]"
400000026795,Samsung SCX-6122FN,"[""400000026793"", ""400000030531""]",[]
400000027215,Canon PC 860,"[""400000027202"", ""400000030159"", ""400000029970"", ""400000027203""]","[""400000023565""]"
400000026949,Xerox WC 4150,"[""400000030538"", ""400000026929""]",[]
400000033268,Canon imageRUNNER ADVANCE C7260i,[],"[""400000033194""]"
400000027801,Canon i-SENSYS MF8330Cdn,"[""400000032752"", ""400000030570"", ""400000018143"", ""400000019312"", ""400000020487"", ""400000018145"", ""400000032753"", ""400000032755"", ""400000032754""]","[""400000015427"", ""400000030612"", ""400000022933""]"
400000030989,Ricoh FT3813,"[""400000005764""]",[]
400000028546,Canon i-SENSYS MF4330d,"[""400000030513"", ""400000013234"", ""400000012388"", ""400000013499""]","[""400000002831"", ""400000015958"", ""400000016407""]"
